clock,bono_net.if.in[ens160],bono_net.if.out[ens160],"bono_proc.num[,,run]",bono_proc.num[],bono_system.cpu.intr,"bono_system.cpu.load[percpu,avg1]","bono_system.cpu.load[percpu,avg15]","bono_system.cpu.load[percpu,avg5]",bono_system.cpu.switches,"bono_system.cpu.util[,idle]","bono_system.cpu.util[,interrupt]","bono_system.cpu.util[,iowait]","bono_system.cpu.util[,nice]","bono_system.cpu.util[,softirq]","bono_system.cpu.util[,steal]","bono_system.cpu.util[,system]","bono_system.cpu.util[,user]","bono_system.swap.size[,free]","bono_system.swap.size[,pfree]","bono_system.swap.size[,total]","bono_vfs.fs.inode[/,pfree]","bono_vfs.fs.inode[/boot,pfree]","bono_vfs.fs.inode[/var/lib/docker/aufs,pfree]","bono_vfs.fs.inode[/var/lib/kubelet,pfree]","bono_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/,pfree]","bono_vfs.fs.size[/,total]","bono_vfs.fs.size[/,used]","bono_vfs.fs.size[/boot,free]","bono_vfs.fs.size[/boot,pfree]","bono_vfs.fs.size[/boot,total]","bono_vfs.fs.size[/boot,used]","bono_vfs.fs.size[/var/lib/docker/aufs,pfree]","bono_vfs.fs.size[/var/lib/docker/aufs,total]","bono_vfs.fs.size[/var/lib/docker/aufs,used]","bono_vfs.fs.size[/var/lib/kubelet,free]","bono_vfs.fs.size[/var/lib/kubelet,pfree]","bono_vfs.fs.size[/var/lib/kubelet,total]","bono_vfs.fs.size[/var/lib/kubelet,used]","bono_vfs.fs.size[/var/lib/rancher/volumes,free]","bono_vfs.fs.size[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/var/lib/rancher/volumes,total]","bono_vfs.fs.size[/var/lib/rancher/volumes,used]",bono_vm.memory.size[available],bono_vm.memory.size[total],homestead_net.if.in[ens160],homestead_net.if.out[ens160],"homestead_proc.num[,,run]",homestead_proc.num[],homestead_system.cpu.intr,"homestead_system.cpu.load[percpu,avg1]","homestead_system.cpu.load[percpu,avg15]","homestead_system.cpu.load[percpu,avg5]",homestead_system.cpu.switches,"homestead_system.cpu.util[,idle]","homestead_system.cpu.util[,interrupt]","homestead_system.cpu.util[,iowait]","homestead_system.cpu.util[,nice]","homestead_system.cpu.util[,softirq]","homestead_system.cpu.util[,steal]","homestead_system.cpu.util[,system]","homestead_system.cpu.util[,user]","homestead_system.swap.size[,free]","homestead_system.swap.size[,pfree]","homestead_system.swap.size[,total]","homestead_vfs.fs.inode[/,pfree]","homestead_vfs.fs.inode[/boot,pfree]","homestead_vfs.fs.inode[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.inode[/var/lib/kubelet,pfree]","homestead_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/,pfree]","homestead_vfs.fs.size[/,total]","homestead_vfs.fs.size[/,used]","homestead_vfs.fs.size[/boot,free]","homestead_vfs.fs.size[/boot,pfree]","homestead_vfs.fs.size[/boot,total]","homestead_vfs.fs.size[/boot,used]","homestead_vfs.fs.size[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.size[/var/lib/docker/aufs,total]","homestead_vfs.fs.size[/var/lib/docker/aufs,used]","homestead_vfs.fs.size[/var/lib/kubelet,free]","homestead_vfs.fs.size[/var/lib/kubelet,pfree]","homestead_vfs.fs.size[/var/lib/kubelet,total]","homestead_vfs.fs.size[/var/lib/kubelet,used]","homestead_vfs.fs.size[/var/lib/rancher/volumes,free]","homestead_vfs.fs.size[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/var/lib/rancher/volumes,total]","homestead_vfs.fs.size[/var/lib/rancher/volumes,used]",homestead_vm.memory.size[available],homestead_vm.memory.size[total],sprout_net.if.in[ens160],sprout_net.if.out[ens160],"sprout_proc.num[,,run]",sprout_proc.num[],sprout_system.cpu.intr,"sprout_system.cpu.load[percpu,avg1]","sprout_system.cpu.load[percpu,avg15]","sprout_system.cpu.load[percpu,avg5]",sprout_system.cpu.switches,"sprout_system.cpu.util[,idle]","sprout_system.cpu.util[,interrupt]","sprout_system.cpu.util[,iowait]","sprout_system.cpu.util[,nice]","sprout_system.cpu.util[,softirq]","sprout_system.cpu.util[,steal]","sprout_system.cpu.util[,system]","sprout_system.cpu.util[,user]","sprout_system.swap.size[,free]","sprout_system.swap.size[,pfree]","sprout_system.swap.size[,total]","sprout_vfs.fs.inode[/,pfree]","sprout_vfs.fs.inode[/boot,pfree]","sprout_vfs.fs.inode[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.inode[/var/lib/kubelet,pfree]","sprout_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/,pfree]","sprout_vfs.fs.size[/,total]","sprout_vfs.fs.size[/,used]","sprout_vfs.fs.size[/boot,free]","sprout_vfs.fs.size[/boot,pfree]","sprout_vfs.fs.size[/boot,total]","sprout_vfs.fs.size[/boot,used]","sprout_vfs.fs.size[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.size[/var/lib/docker/aufs,total]","sprout_vfs.fs.size[/var/lib/docker/aufs,used]","sprout_vfs.fs.size[/var/lib/kubelet,free]","sprout_vfs.fs.size[/var/lib/kubelet,pfree]","sprout_vfs.fs.size[/var/lib/kubelet,total]","sprout_vfs.fs.size[/var/lib/kubelet,used]","sprout_vfs.fs.size[/var/lib/rancher/volumes,free]","sprout_vfs.fs.size[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/var/lib/rancher/volumes,total]","sprout_vfs.fs.size[/var/lib/rancher/volumes,used]",sprout_vm.memory.size[available],sprout_vm.memory.size[total],bono_normal,bono_cpu,bono_mem,bono_io,homestead_normal,homestead_cpu,homestead_mem,homestead_io,sprout_normal,sprout_cpu,sprout_mem,sprout_io
1527319932,125216,71112,2,204,854,0.0000,0.0400,0.0500,2593,96.3317,0.0000,0.3180,0.0167,0.1675,0.0000,1.4570,1.8075,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397883904,408983552,87.2071,494512128,59996160,90.2156,79680208896,7397896192,68211113984,90.2156,79680208896,7397896192,68211113984,90.2156,79680208896,7397896192,7669280768,8371621888,4637904,3808888,3,232,3447,0.3100,0.1300,0.1900,5694,87.0935,0.0000,0.2698,0.0169,3.2878,0.0000,3.1182,6.9140,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0568,79680208896,6761893888,408983552,87.2071,494512128,59996160,91.0570,79680208896,6761709568,68847198208,91.0569,79680208896,6761811968,68847247360,91.0569,79680208896,6761762816,7599493120,8371621888,18433768,21967376,6,221,5297,0.7600,0.8100,1.1500,8842,62.3250,0.0000,0.1811,0.0165,8.0796,0.0000,4.7933,20.3621,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0394,79680208896,6775001088,408983552,87.2071,494512128,59996160,91.0394,79680208896,6775017472,68834009088,91.0394,79680208896,6775001088,68834009088,91.0394,79680208896,6775001088,5737193472,8371621888,1,0,0,0,1,0,0,0,0,0,1,0
1527319937,190912,115800,4,204,859,0.0000,0.0400,0.0500,2141,96.2163,0.0000,0.3182,0.0167,0.1842,0.0000,1.4566,1.7750,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397904384,408983552,87.2071,494512128,59996160,90.2156,79680208896,7397912576,68211097600,90.2156,79680208896,7397912576,68211097600,90.2156,79680208896,7397912576,7669301248,8371621888,5478840,4712000,3,232,3193,0.2900,0.1300,0.1800,5597,85.4518,0.0000,0.2700,0.0169,3.9642,0.0000,3.3210,7.9636,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0562,79680208896,6762311680,408983552,87.2071,494512128,59996160,91.0565,79680208896,6762057728,68846788608,91.0563,79680208896,6762217472,68846862336,91.0564,79680208896,6762147840,7599292416,8371621888,20594488,27679208,2,221,5184,0.7800,0.8100,1.1400,9902,54.4406,0.0000,0.1648,0.0165,10.1385,0.0000,7.2781,23.4053,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0394,79680208896,6775054336,408983552,87.2071,494512128,59996160,91.0393,79680208896,6775074816,68833964032,91.0394,79680208896,6775046144,68833984512,91.0394,79680208896,6775025664,3205246976,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319942,125992,70544,4,209,874,0.0000,0.0400,0.0400,2632,96.2144,0.0000,0.3516,0.0167,0.2344,0.0000,1.4403,1.7750,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397916672,408983552,87.2071,494512128,59996160,90.2156,79680208896,7397916672,68211085312,90.2156,79680208896,7397924864,68211085312,90.2156,79680208896,7397924864,7669313536,8371621888,5623832,4679544,2,232,3495,0.2400,0.1300,0.1800,6090,83.6259,0.0000,0.2197,0.0169,4.6092,0.0000,3.6318,8.9219,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0557,79680208896,6762721280,408983552,87.2071,494512128,59996160,91.0560,79680208896,6762475520,68846374912,91.0558,79680208896,6762635264,68846456832,91.0559,79680208896,6762553344,7599116288,8371621888,24647808,29043200,2,221,5408,0.8000,0.8100,1.1400,10193,47.8333,0.0000,0.1648,0.0165,11.8694,0.0000,8.1549,28.6750,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0393,79680208896,6775111680,408983552,87.2071,494512128,59996160,91.0392,79680208896,6775140352,68833910784,91.0393,79680208896,6775099392,68833927168,91.0393,79680208896,6775083008,3203321856,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319947,195720,85168,2,204,813,0.0000,0.0400,0.0400,2100,96.1996,0.0000,0.3516,0.0167,0.2177,0.0000,1.4070,1.8419,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397924864,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397933056,68211077120,90.2155,79680208896,7397933056,68211077120,90.2155,79680208896,7397933056,7669194752,8371621888,5243736,4423912,2,232,3430,0.2200,0.1300,0.1800,5827,81.5252,0.0000,0.2362,0.0169,5.2303,0.0000,4.1336,9.8195,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0552,79680208896,6763110400,408983552,87.2071,494512128,59996160,91.0555,79680208896,6762868736,68845973504,91.0553,79680208896,6763032576,68846051328,91.0554,79680208896,6762958848,7599251456,8371621888,25300616,27547056,2,221,5496,0.7300,0.8100,1.1200,9798,41.4538,0.0000,0.1484,0.0165,13.6454,0.0000,8.8332,32.8001,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0392,79680208896,6775169024,408983552,87.2071,494512128,59996160,91.0392,79680208896,6775197696,68833849344,91.0392,79680208896,6775160832,68833861632,91.0392,79680208896,6775148544,3202170880,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319952,133712,81312,2,204,917,0.0000,0.0400,0.0400,2723,96.2150,0.0000,0.3349,0.0167,0.2009,0.0000,1.4401,1.8084,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397941248,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397941248,68211068928,90.2155,79680208896,7397941248,68211068928,90.2155,79680208896,7397941248,7669202944,8371621888,5301664,4469840,2,232,3310,0.2200,0.1200,0.1700,6308,79.6321,0.0000,0.2027,0.0169,5.6776,0.0000,4.3874,10.5219,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0547,79680208896,6763429888,408983552,87.2071,494512128,59996160,91.0549,79680208896,6763270144,68845658112,91.0548,79680208896,6763352064,68845735936,91.0549,79680208896,6763274240,7598637056,8371621888,25282592,27531112,2,221,5435,1.0000,0.8200,1.1700,10330,36.2932,0.0000,0.1154,0.0165,15.1310,0.0000,9.3621,36.0475,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0391,79680208896,6775226368,408983552,87.2071,494512128,59996160,91.0391,79680208896,6775250944,68833804288,91.0392,79680208896,6775205888,68833804288,91.0392,79680208896,6775205888,3201744896,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319957,199976,106360,2,204,811,0.0000,0.0400,0.0400,2200,96.1989,0.0000,0.3181,0.0168,0.1842,0.0000,1.4568,1.7914,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397949440,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397949440,68211060736,90.2155,79680208896,7397949440,68211060736,90.2155,79680208896,7397949440,7669096448,8371621888,5240968,4414688,2,232,3404,0.2000,0.1200,0.1700,5797,78.2454,0.0000,0.2029,0.0169,6.1697,0.0000,4.7192,11.4793,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0542,79680208896,6763827200,408983552,87.2071,494512128,59996160,91.0545,79680208896,6763589632,68845256704,91.0543,79680208896,6763753472,68845346816,91.0544,79680208896,6763663360,7598800896,8371621888,25152200,27632880,3,221,5418,1.0800,0.8300,1.1800,9546,29.8945,0.0000,0.1153,0.0165,17.0073,0.0000,9.9341,39.8946,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0390,79680208896,6775291904,408983552,87.2071,494512128,59996160,91.0390,79680208896,6775312384,68833738752,91.0391,79680208896,6775271424,68833751040,91.0391,79680208896,6775259136,3199913984,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319962,119808,80216,4,204,895,0.0000,0.0400,0.0400,2537,96.2144,0.0000,0.3350,0.0167,0.1675,0.0000,1.4738,1.8087,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397957632,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397957632,68211044352,90.2155,79680208896,7397965824,68211044352,90.2155,79680208896,7397965824,7669104640,8371621888,5319720,4431240,2,232,3310,0.1900,0.1200,0.1700,6292,76.3265,0.0000,0.2199,0.0169,6.7186,0.0000,5.1048,12.5169,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0537,79680208896,6764220416,408983552,87.2071,494512128,59996160,91.0540,79680208896,6763982848,68844863488,91.0538,79680208896,6764146688,68844949504,91.0539,79680208896,6764060672,7598403584,8371621888,25309288,27447392,2,221,5501,1.3100,0.8500,1.2300,10095,23.6379,0.0000,0.1152,0.0165,18.7130,0.0000,10.5254,43.7603,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0390,79680208896,6775341056,408983552,87.2071,494512128,59996160,91.0389,79680208896,6775369728,68833681408,91.0390,79680208896,6775328768,68833689600,91.0390,79680208896,6775320576,3197693952,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319967,202184,110104,4,204,842,0.0000,0.0400,0.0400,2287,96.2963,0.0000,0.3183,0.0168,0.1675,0.0000,1.4575,1.8093,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397965824,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397978112,68211032064,90.2155,79680208896,7397978112,68211032064,90.2155,79680208896,7397978112,7668985856,8371621888,5230752,4457760,2,232,3393,0.1700,0.1200,0.1600,5827,74.5731,0.0000,0.2194,0.0169,7.0598,0.0000,5.3209,13.3333,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0532,79680208896,6764621824,408983552,87.2071,494512128,59996160,91.0535,79680208896,6764384256,68844470272,91.0533,79680208896,6764535808,68844552192,91.0534,79680208896,6764457984,7598436352,8371621888,24920616,27525312,3,221,5383,1.4500,0.8600,1.2600,9956,19.9967,0.0000,0.0989,0.0165,19.9107,0.0000,11.2025,46.9183,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0389,79680208896,6775406592,408983552,87.2071,494512128,59996160,91.0389,79680208896,6775431168,68833619968,91.0389,79680208896,6775390208,68833632256,91.0389,79680208896,6775377920,3196456960,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319972,125600,75160,4,204,845,0.0000,0.0400,0.0400,2651,96.4118,0.0000,0.2850,0.0168,0.1509,0.0000,1.4087,1.7273,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397986304,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397986304,68211023872,90.2155,79680208896,7397986304,68211023872,90.2155,79680208896,7397986304,7669006336,8371621888,5233848,4365880,3,232,3298,0.1600,0.1200,0.1800,6143,73.5859,0.0000,0.2188,0.0168,7.2137,0.0000,5.5565,13.6149,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0526,79680208896,6765006848,408983552,87.2071,494512128,59996160,91.0530,79680208896,6764773376,68844072960,91.0527,79680208896,6764937216,68844150784,91.0528,79680208896,6764859392,7598141440,8371621888,25672248,27713928,2,221,5573,1.6500,0.8800,1.3100,10007,18.9747,0.0000,0.0996,0.0166,20.4258,0.0000,11.4683,48.6643,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0388,79680208896,6775468032,408983552,87.2071,494512128,59996160,91.0388,79680208896,6775496704,68833550336,91.0388,79680208896,6775459840,68833570816,91.0388,79680208896,6775439360,3195588608,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
1527319977,199760,85416,4,204,952,0.0000,0.0400,0.0400,2548,96.3609,0.0000,0.3017,0.0168,0.1676,0.0000,1.4082,1.7767,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397994496,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397994496,68211007488,90.2154,79680208896,7398002688,68211015680,90.2155,79680208896,7397994496,7669014528,8371621888,5286840,4481040,2,232,3403,0.2300,0.1300,0.1800,5701,73.3994,0.0000,0.2186,0.0168,7.2761,0.0000,5.4659,13.5721,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0521,79680208896,6765412352,408983552,87.2071,494512128,59996160,91.0524,79680208896,6765178880,68843671552,91.0522,79680208896,6765338624,68843761664,91.0523,79680208896,6765248512,7598280704,8371621888,25487096,27860256,6,221,5372,2.1600,0.9100,1.4200,9838,18.0997,0.0000,0.1000,0.0167,20.8786,0.0000,11.4648,49.1000,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0387,79680208896,6775529472,408983552,87.2071,494512128,59996160,91.0387,79680208896,6775558144,68833488896,91.0387,79680208896,6775521280,68833501184,91.0388,79680208896,6775504896,3194253312,8371621888,1,0,0,0,1,0,0,0,1,0,0,0
